title,org,desc
Board Members for Women in Jazz Re-organiation,International Women in Jazz,Be a part of a unique organization supporting female jazz musicians with a commitment in preserving the art of jazz. International Women...
Love to Sing? Peace of Heart Choir Needs You...,Peace of Heart Choir,"The Peace of Heart Choir is a non-profit volunteer chorus that promotes healing, diversity, community bonding, and mutual understanding..."
Volunteer with One Brick at the New York Public Library Holiday Event,ONE BRICK,PLEASE NOTE: WE ARE ASKING YOU TO ALSO RSVP ON OUR HOME SITE - > https://onebrick.org/node/2377535 One Brick creates a community of...
Grants Coordinator,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Marketing Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Public Relations Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients or..."
Volunteer Graphic Designer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients..."
Administration Assistant Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Human Resources Volunteer Appreciation Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Volunteer for the New York Public Library Dance Division 75th Anniversary Performance...,ONE BRICK,PLEASE NOTE: WE NEED YOU TO RSVP ON OUR SITE HERE AS WELL: https://onebrick.org/node/2379328 One Brick creates a community of volunteers...
Grand Market Brooklyn Volunteer,Braata Productions,Apply to become a Grand Market Volunteer now. Volunteers are needed in a number of roles: STAGE MANAGER BRAATA MERCHANDISE SALE VOLUNTEER...
CariBites Volunteers,Braata Productions,"Offering bites size pieces of Caribbean culture, food and entertainment, this free event is one for the entire family. Take the kids out..."
Creating heart inspiring videos of 1-3 mins long for Free Environmental Summer Camp,MORE GARDENS FUND,We are looking to an accomplished videomaker to put together short 1 minute and 3 minutes long heart inspiring videos of our Free...
Experienced online QuickBooks bookkeeper helping nonprofit enhance community gardens...,MORE GARDENS FUND,"We are a small growing environmental nonprofit with a budget of around $75,000. We have two summer camps with 1099 employees We work with..."
Paint a Children's Art Space in Monticello,Episcopal Charities,"Help a community art space be transformed by painting, installing shelves, and cleaning in Monticello! Volunteers of all ages are..."
Join a NYC board of directors - BoardAssist has 100s of New York nonprofit board member...,BoardAssist,Interested in serving as a high impact agent of change on a New York City nonprofit board? Contact BoardAssist. BoardAssist is the...
Street Team Volunteers for Non-Profit Theater!,The Actors Theatre Workshop,"Our Theatre's mission is to change people's lives through theater education! The Actors Theatre Workshop is looking for mature,..."
Maintenance Volunteers Needed for Non-Profit Theater!,The Actors Theatre Workshop,We seek two to six volunteers who can take an inventory of goods in our theater and storage spaces and maintain a clean environment!...
Fundraising Professionals for Non-Profit Theater that serves Homeless Children!,The Actors Theatre Workshop,"Join us at The Actors Theatre Workshop, an award-winning theatre and community center with a 24-year history of innovative programming!..."
Electrician and Carpenter Volunteers needed for Non-Profit Theater!,The Actors Theatre Workshop,Seeking Experienced Electricians for Volunteer Team at award-winning theater company with acclaimed educational programs for families...
Lawyer for Non-Profit Theater/Community Center,The Actors Theatre Workshop,Assist in the support and development of the Actors Theatre Workshop by using your legal skills. This award winning theatre and community...
Capture Moments! Volunteer Photographers Needed!,The Actors Theatre Workshop,The Actors Theatre Workshop needs volunteer professional photographers to help photograph and digitize our art collection. Founded by...
Mentor Homeless Children,The Actors Theatre Workshop,Join our award-winning theatre and community center this spring to serve as a mentor for homeless children in The Builders of the New...
Finance and Accounting Professionals for Theater that serves Homeless Children,The Actors Theatre Workshop,This dynamic community based theater needs the support of Financial professionals familiar with QuickBooks. Experience in budgeting and...
Administrative Internship for Non - Profit Theatre,The Actors Theatre Workshop,We seek organized and efficient individuals who can take a leadership role and contribute to the numerous and wide ranging administrative...
Rental Business Volunteer for Non-Profit Theatre,The Actors Theatre Workshop,We are seeking individuals to join our rental team. The individual must be familiar with managing a rental space. They will be...
In-Kind Donations Volunteers for Non - Profit Theatre,The Actors Theatre Workshop,"Individuals who enjoy working on the telephone to seek donations of goods and services for events, productions, and to enhance the..."
IT Volunteers for Non - Profit Theatre,The Actors Theatre Workshop,ATW is currently seeking IT Interns who can provide direct technical support. The individual?s responsibilities will include support all...
Discover Your Potential to Change the World!,The Actors Theatre Workshop,Join with us to learn a creative process from an artist with a long history of community service and discover how best to contribute your...
Volunteer Lawyers for non profit Theater that serves Homeless Children,The Actors Theatre Workshop,Assist in the support and development of the Actors Theatre Workshop by using your legal skills. This award-winning theatre and community...
Public Relations Volunteer for Theater!,The Actors Theatre Workshop,We seek experienced and enthusiastic individuals to help get the word out about the Actors Theatre Workshop and to obtain media coverage...
Phone Wiring Technician for Non-Profit NYC Theatre/Education Center needed RSVP Info...,The Actors Theatre Workshop,Come to our Volunteer Leadership Info Session (See RSVP Info Below!) Seeking Experienced Phone Wiring Technians to help repair and...
Builders of the New World -- Videographer Volunteer,The Actors Theatre Workshop,"Be a member of the Builders of The New World, a theatre and education program for Homeless children, now in its eleventh year of..."
Environmental Justice Documentary about Climate Change Spanish Speaking,Cine Qua Non Inc./Incite Pictures,"Cine Qua Non, Inc./Incite Pictures is a nonprofit documentary film company dedicated to producing high profile documentaries on social..."
Environmental Film & Video Spanish Translator Editing & More,Cine Qua Non Inc./Incite Pictures,"Cine Qua Non, Inc./Incite Pictures is an award-winning independent nonprofit documentary film company dedicated to producing high profile..."
Sewing Instructor at Queensbridge Tech Lab,Queens Library,"The Queensbridge Tech Lab specializes in 2D & 3D design, multimedia production and emerging technology programs for the residents of..."
Robotics Assistant at Queensbridge Tech Lab,Queens Library,"The Queensbridge Tech Lab specializes in design, media/music production, and emerging technology programs for the residents of New York..."
Digital Arts and Crafts Lead at Queensbridge Tech Lab,Queens Library,The Queensbridge Tech Lab would like to ignite a bi-weekly digital arts & crafts meet-up called the Create & Build Open Lab that...
Design and Media Lead at Queensbridge Tech Lab,Queens Library,"The Queensbridge Tech Lab specializes in design, media/music production, and emerging technology programs for the residents of New York..."
Designer/ Arts and Crafts Talent (Christmas themed),MY FRIENDS PLACE NY INC,Looking for talented artist/designer/arts and crafts talent to lead a group of high school students to make Christmas themed arts and...
Want to Volunteer in NYC? We Can Help You Find the Perfect Volunteer Job!,Volunteer Referral Center,"For over 30 years, the Volunteer Referral Center has helped thousands of New Yorkers find great volunteer opportunities. Through..."
Want to Volunteer in NYC? We Can Help You.,Volunteer Referral Center,"For over 30 years, the Volunteer Referral Center has helped thousands of New Yorkers find great volunteer opportunities. Through..."
Looking for the Perfect Volunteer Opportunity in NYC?,Volunteer Referral Center,"FFor over 30 years, the Volunteer Referral Center has helped thousands of New Yorkers find great volunteer opportunities. Through..."
Assistant Coach- NYC Girls' Majorette Dance Team (Grades K-5),Friends of MJHS,The SoulDeevas are looking for a committed choreographer to serve as a coach for its Hip-Hop Majorette Dance team serving a small group...
Boys' Step Team Coach- SoulGentz NYC,Friends of MJHS,We are looking for experienced step team coaches (Greek experience is welcomed) to serve as Coaches for the SoulGentz' Step Team. The...
Volunteer Focus on Arts and Culture,Changing The Present,"Intern or Volunteer with ChangingThePresent.org to Support Arts and Culture and Make a Difference in Their Lives! Use your skills,..."
Greeter,BEAUTY AT THE SURFACE IN HONOR OF CAROL LEE...,"I'm seeking individuals who are punctual, friendly & organized to help out at our 4th Annual Engaging & Empowering Change Through..."
One Month to One Year Volunteering Opportunities now available!,Camphill Village Kimberton Hills,Camphill Village Kimberton Hills is an agricultural and crafts community looking for resident volunteers to live and participate...
Volunteer Photographer Needed for Children's Autism Program: Ballet For All Kids...,American Autism Association,The American Autism Association is an organization dedicated to helping families and individuals affected by autism while increasing...
"Graphic Design: Branding, Print and/or Website",Hearts and Minds,"Your work may be included in our upcoming new website, presentations, videos, print, press releases and more for Hearts and Minds...."
"Photography, Video or Art",Hearts and Minds,"Please note: Seeking advanced and very experienced only. IMPORTANT: For most activities, we require at least a year of experience - and..."
VIDEOGRAPHER NEEDED FOR HISTORIC NYC ARTS ORGANIZATION,Artists Talk On Art,VIDEOGRAPHER NEEDED TO RECORD BI MONTHLY PANEL DISCUSSIONS The art world’s longest running panel series - Artists Talk on Art (see...
Coach- NYC Girls' Hip-Hop Majorette Dance Team (Grades 6 to 12),Friends of MJHS,The SoulDeevas are looking for a committed choreographer to serve as coach for its Hip-Hop Majorette Dance team serving a small group of...
Volunteer at the Winter Extravaganza at Brighter Choice Community School with Change...,Change for Kids,Want to make a difference? Join Change For Kids at Brighter Choice Community School and help with their Winter Extravaganza Showcase...
NYC Cheerleading/Poms Coach (Girls Grades 4 to 12),Friends of MJHS,The SoulDeevas are looking for a committed individual to serve as part of the coaching team for its newly forming Cheerleading program...
Graphic Design Volunteer at Lantern Community Services!,Lantern Community Services,Lantern Community Services is a supportive housing non-profit that helps people who are formerly homeless or have recently aged out of...
Board of Directors,The Time In Children's Arts Initiative,"Time In seeks resourceful, mission-driven, forward thinking leaders, with a passion for the arts and equality to bring their expertise to..."
Seeking Muralist to beautify NYC Public Schools with Change For Kids,Change for Kids,"Change For Kids seeks a muralist to help beautify our partner schools! All children deserve to learn in a beautiful, stimulating..."
Post Production Volunteer,A Free Bird,"A Free Bird, a 100% volunteer-based 501(c)(3) non-profit arts education organization, that strives to empower children with cancer by..."
Tour Guide/Docent/Historic Interpreter,Waterfront Museum,The Waterfront Museum & Showboat Barge seeks volunteers to help during our open hours year round. Open hours are Thursdays 4 - 8 pm...
Shipkeeper's assistant,Waterfront Museum,"Work tasks in helping with preservation and maintenance projects include woodworking, painting, organizing supplies and materials, bilge..."
NYC Museum Goer!,PARTNERS HEALTH PLAN INC,About Are you interested in a rewarding field that works closely with individuals who have intellectual and developmental disabilities?...
PHOTOGRAPHER - Help Make Our Domestic Violence Non Profit COME ALIVE!,Sue Rock Originals Everyone,PHOTOGRAPHER - Help Make Our Domestic Violence Non Profit COME ALIVE! Sue Rock Originals Everyone is a domestic violence non profit that...
Administrative Assistance,Theater for the New City,We are currently looking for Volunteer Office Assistants to work in the afternoon and/or the evening. Volunteer Office Assistants serve...
Theater for the New City Needs Office help,Theater for the New City,We are currently looking for Volunteer Office Assistants to work in the afternoon and/or the evening. Volunteer Office Assistants serve...
"Dance Class for Kids with Disabilities - Gowanus, Brooklyn",BALLET FOR ALL KIDS NYC,"Ballet For All Kids is a non-profit organization whose mission is to give every child, regardless of their abilities or disabilities, the..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Tastes of Brooklyn Events- Help needed! Foodies!,Seeds in the Middle,"We are thrilled by the popularity of our Tastes of Brooklyn events, where we create food and drink crawls to benefit our not for profit,..."
Admin Assistant,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Master Class Instructor - Step Team,Friends of MJHS,We are looking for creative and committed individuals experienced in stepping to conduct a Master Class for the SoulDeevas - a...
Master Class Dance Instructor NYC,Friends of MJHS,We are looking for creative and committed individuals experienced in any genre of dance to conduct a Master Class for the SoulDeevas - a...
Piano Player for Dementia Program,Lenox Hill Neighborhood House,"Lenox Hill Neighborhood House, widely recognized as one of New York's premiere human services providers, is a 125-year-old settlement..."
Flamenco Vivo Volunteer and Work/Study Program,Flamenco Vivo Carlota Santana,"Flamenco Vivo Carlota Santana We believe that the universal spirit of flamenco, a multicultural art form, has the power to build bridges..."
Castillo Theater House Manager,"All Stars Project, Inc.","A Castillo Theatre house manager has a dynamic role! Directs volunteer house staff (ushers, ticket takers, greeters) Interfaces with the..."
Exhibition Attendant,THE BROOKLYN HISTORICAL SOCIETY,Brooklyn Historical Society seeks volunteers to support our mission. Volunteers at Brooklyn Historical Society (BHS) offer valuable...
Volunteer Department Development,"All Stars Project, Inc.","What has 1,200 arms and legs and supports youth development all week? The All Stars Project’s volunteers! With hundreds of..."
Multimedia Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Financial Accounting Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Youth Programs Office Administrator,"All Stars Project, Inc.","The All Stars Project’s Youth Programs team manages three vibrant programs: the Development School for Youth, the All Stars Talent..."
Theatre and Ticket Sales,"All Stars Project, Inc.","Castillo Theatre is an off-off Broadway theatre developing what’s possible on stage and off. For over 35 years, Castillo has made..."
Youth Organizer,"All Stars Project, Inc.","How do over 5,000 inner city youth get to 42 nd St.? With a whole lot of organizing, of course! Each week, volunteer youth organizers..."
Photographer,"All Stars Project, Inc.","If young people develop but no one sees it, did it really happen? We won’t take that chance! The All Stars Project of New York..."
Special Events Producer,"All Stars Project, Inc.","The All Stars Project of New York transforms the lives of youth and poor communities using the developmental power of performance, in..."
Fundraising Manager,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
HR Assistant,A Free Bird,The Human Resource Assistant position at A Free Bird provides support to the HR Director for all HR administrative processes. The role...
Social Media and Marketing,Music on The Inside.org,Music on the Inside works with professional musicians to bring music education and hope to incarcerated individuals. We are growing from...
General helpers Brooklyn Satellite GiGi's Playhouse,"GiGi's Playhouse, Down Syndrome Awareness Centers",GiGi’s Playhouse is a volunteer run organization and we rely on the skill and dedication of volunteers of various levels of...
Special Events Program Assistant,Lighthouse Guild,"The Volunteer Resources Department is responsible for planning, organizing and coordinating special events that bring value to the..."
Children's Recreation Projects with New York Cares in Brooklyn,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Children's Recreation Projects with New York Cares,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Seniors Projects with New York Cares in Brooklyn,New York Cares,"Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction vital..."
Seniors Projects with New York Cares,New York Cares,"Seniors in nursing facilities tend to have few visitors, but with a few hours of your time, you can provide the social interaction vital..."
Be a Mentor with our Creative Lab program!,Free Arts NYC,What is the Creative Lab? Creative Lab offers teens an introduction to the creative industry and cultural institutions across New York...
Fashion Designer,Yadestinytreasurechest,Job Details: Do you enjoy designing and creating fashion pieces and clothing? Are you ready to join a life-changing organization where...
Board Member,COMMUNITY-WORD PROJECT INC,Community-Word Project is a New York City based 501(c)(3) arts-in-education organization that inspires children in underserved...
Volunteer Artist,A Free Bird,Responsibilities Provide non-classroom one to one instructions to our young students Assess the appropriate ability level of each student...
Acting Coach Volunteer,A Free Bird,Responsibilities Provide non-classroom one to one instructions to our young students Assess the appropriate ability level of each student...
Children's Tutor,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Children Programs Coordinator,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Bookkeeper for Non-Profit Organization,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
3D animator,A Free Bird,A Free Bird is a 501 (c) 3 non profit organization dedicated to inspiring and nourishing children with cancer through the therapeutic...
Child Life Specialist/Child Psychologist,A Free Bird,Job Overview A Free Bird’s mission is to uplift children battling cancer and other chronic illnesses through the therapeutic arts....
Marketing Volunteer,A Free Bird,Responsibilities: Assisting the Marketing Coordinator with any Job responsibilities. Contacting potential donors/sponsors to help out the...
PR Volunteer,A Free Bird,"Responsibilities: Assisting the PR Coordinator or Director with any work towards the organization. Creating templates, emails, documents,..."
Programs Assistant,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Museum of Reclaimed Urban Space Fall Intern,Time's Up,The mission of the Museum of Reclaimed Urban Space (MoRUS) is to preserve history and promote scholarship of grassroots urban space...
Fronk Desk Volunteers,Hosh Yoga,"Volunteers work up to 6 hours a week doing anything from providing administrative work, prospect research, to washing cups, from watering..."
Social Media Marketing Volunteer,Hosh Yoga,"SEO & Social Media Intern SEO volunteer will manage all website optimization, link building and social media audience stewardship in..."
Volunteer for Music & Art in North Brooklyn,Hosh Yoga,Close Encounters is a Hosh Yoga Inc a 501 c (3) where local artists perform acoustic sets. We also host open mic nights for community...
"Yoga, Dance, Music, Theater & More Enrichment Teachers: Change Kids' Lives",Hosh Yoga,"Use your passion, skills and experience to teach enrichment education in an NYC public school. Make a difference in a low income..."
Staff Development Coordinator for Children's program,Hosh Yoga,Hosh Kids is making a difference in making enrichment education a right of life rather than a luxury. A staff development coordinator at...
Creative Director/Photographer/Videographer,Hosh Yoga,Our Mission Enrichment education as a right of life rather than a luxury. Hosh is here to provide a fair chance to explore healthier...
Board Members sought for Professional NYC Theatre Company,"Theatre Now New York, Inc.","Do you love theatre and believe in the importance of supporting new theatrical works? If so, please continue to read. We are looking for..."
Docent/Tour Guide - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you have an unquenchable thirst for knowledge? Do you like learning about new objects, places, or things?..."
Usher - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Are you interested in helping to seat and greet patrons and visitors in support of a renowned Harlem cultural...
Theater Program Volunteer,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Have a taste for the theatrical? Believe in the developmental power of performance? Want to transform the...
Theatre Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you have an interest in the performing arts? Did you realize that beyond Broadway in Manhattan,..."
Docent (Tour Guide) - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Are you interested in leading tours throughout exhibition areas, helping to seat and greet patrons and..."
Volunteer Coordinator,African Voices Communications Inc.,A non-profit arts organization is seeking a dynamic Volunteer Coordinator to help recruit and manage a team of volunteers for several...
Board of Directors Positions,African Voices Communications Inc.,African Voices seeks individuals with an entrepreneurial spirit to help build on its successful 24 year history. We are looking to expand...
Visual Artists! Do pop-up Paint or Draw and Sips with us - Brooklyn!,Seeds in the Middle,"ARTISTS! Here's a chance to show off your work, brush up teaching skills, enjoy food and drink and do good at the same time. We want to..."
Unity Technical Artist,A Free Bird,A Free Bird is looking for a talented Unity artist to assist in the creation of a mobile game app for children undergoing cancer...
Web Developer,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients or..."
Children Programs Coordinator,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Donor Relations Manager,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Assistant to President,A Free Bird,Responsibilities: Carry out responsibilities the president may have. Assists in conserving president’s time and promote AFB public...
Graphic Designer needed to complete website project,"Blue Horseshoe Foundation, Inc.","We are in need of a graphic designer that can assist our web developers in completing the renovation of our website. Experience with UX,..."
Opportunity for Website Designer,Arete Living Arts Foundation,The Arete Living Arts Foundation has a volunteer opportunity for a Wordpress website designer. The candidate will work with us to create...
Production Assistant,Anderson & Bert Cade Fulton Foundation,The Fulton Arts Foundation is currently accepting applications from college students and post-graduate students for internships. This...
Development Intern,Chelsea Sculpture Park,"Chelsea Sculpture Park New York, New York Are you considering a future in arts administration, nonprofit management, fundraising, arts..."
Fall 2019 Internship at ISCP (International Studio & Curatorial Program),ISCP,"The International Studio & Curatorial Program (ISCP) is a not-for-profit, residency-based contemporary art center for emerging to..."
Famili Sundays at the Rubin Museum of Art,Rubin Museum of Art,Family Sundays at the Rubin Museum of Art The Rubin Museum Education department hosts a drop in art making program for families every...
Thrift Shop Volunteer,CURE THRIFT INC,"We are looking for individuals enthusiastic about any of the following: anything vintage and collectible, thrifted clothing, contemporary..."
Share Your Art: Become a Sing for Hope Artist Partner!,Sing for Hope,Sing for Hope provides opportunities for artists to use their time and talent to make the world a better place. Our volunteer programs...
BE PART OF THE ART! Become a Sing for Hope Project Leader,Sing for Hope,"Sing for Hope transforms and uplifts individuals and communities by mobilizing artists in volunteer service, bringing the power of the..."
Gallery Assistant/ Volunteer,Cuchifritos Gallery + Project Space,Join the Lower East Side arts community by becoming a volunteer at Cuchifritos Gallery + Project Space! Through monthly artist/curator...
Non Profit Proposal Writer/Developer,BCA Global,BCA Global is searching for a person in the capacity of a proposal writer. With the right individual to be able to tell our story BCA can...
Volunteer Treasurer/Accounting Adviser for Eva Dean Dance,EVA DEAN DANCE COMPANY IN,"Eva Dean Dance, a not-for-profit organization is seeking a volunteer Treasurer to provide general financial oversight on a quarterly..."
"Dance class for kids with disabilities - LIC, Queens",BALLET FOR ALL KIDS NYC,"Ballet For All Kids is a non-profit organization whose mission is to give every child, regardless of their abilities or disabilities, the..."
Film and theater arts volunteer,"ActNow Foundation, Inc.","Assistance with the administration and programming of the organization, particularly new media and website development, social media..."
Administrative Internship,BCA Global,BCA Global is searching for an intern to assist us. Here is a bit of information about the BCA. In today's changing and challenging...
Volunteer with Theatre of the Oppressed NYC,Theatre of the Oppressed NYC,Volunteer and support arts and social justice events and performances.
Focused on improving your photography? Learn from the best!,Professional Women Photographers,"Women's photography organization is looking for help in its membership department, social media, event planning, financial department and..."
Event Volunteers,New York Public Library,"Event Volunteers are needed for the New York Public Library. Author lectures, International Games Day, panel discussions, children's..."
Wellness Volunteers,Gay Men's Health Crisis,"Licensed professionals and experienced instructors such as chiropractors, massage therapists, yoga/fitness instructors, reflexologists,..."
Holiday Ornament Project with Homeless Individuals,Center for Urban Community Services,Create holiday snow globes and wreathes with the individuals in our West Harlem Safe Haven!
VOLUNTEERS NEEDED- 12/14 NYSoM HOLIDAYMANIA FROM 12-6PM,NYSoM,"SATURDAY DECEMBER 14TH FROM 12-6PM NYSoM PRESENTS NYSoM HOLIDAYMANIA IN HARLEM FEATURING KWANZAA, HANUKKAH, CHRISTMAS & NEW YEARS..."
Classroom Volunteer/Writing Coach,Behind the Book,"Volunteer with Behind the Book, a non-profit literacy organization that inspires New York City public school students to explore stories..."
"Research coach for Bronx, NYC public school literacy progam (SA-R)",Behind the Book,"Volunteer with Behind the Book, a non-profit literacy organization that inspires New York City public school students to love reading...."
"Party Host: Bartend, Converse, and Interact with World Travelers!",Hostelling International New York,"Are you interested in meeting people, especially younger travelers, from all over the world? We're looking for people of all ages who..."
Volunteers needed for HI NYC Information Desk -- Share your NYC favorites with travelers,Hostelling International New York,Are you passionate about New York City? Do you like interacting with people from all over the world? Help travelers have incredible and...
"Arts & Crafts, Knitting, Crocheting,Beading at The New Jewish Home","The New Jewish Home, Manhattan Division","Come join the elders at The New Jewish Home for the Knitting, Crochet, and Beading workshops. This is a great opportunity for a creative..."
"ENGLISH, SPANISH, GREEK, KOREAN, RUSSIAN Speakers: Friendly Visitors Needed",Selfhelp,Selfhelp Queens North Friendly Visiting is a program that matches homebound seniors with volunteers in their community who make weekly...
Librarian at The New Jewish Home,"The New Jewish Home, Manhattan Division","Volunteers will assist with the upkeep of our library, shelving books, visiting residents with our mobile book cart to offer selections,..."
