title,org,desc
Multimedia Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Financial Accounting Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Fundraising Manager,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
HR Assistant,A Free Bird,The Human Resource Assistant position at A Free Bird provides support to the HR Director for all HR administrative processes. The role...
Volunteer Department Development,"All Stars Project, Inc.","What has 1,200 arms and legs and supports youth development all week? The All Stars Project’s volunteers! With hundreds of..."
Community Organizer,"All Stars Project, Inc.",COMMUNITY ORGANIZER The All Stars Project of New York transforms the lives of youth and poor communities using the developmental power of...
Youth Programs Office Administrator,"All Stars Project, Inc.","The All Stars Project’s Youth Programs team manages three vibrant programs: the Development School for Youth, the All Stars Talent..."
Theatre and Ticket Sales,"All Stars Project, Inc.","Castillo Theatre is an off-off Broadway theatre developing what’s possible on stage and off. For over 35 years, Castillo has made..."
Youth Organizer,"All Stars Project, Inc.","How do over 5,000 inner city youth get to 42 nd St.? With a whole lot of organizing, of course! Each week, volunteer youth organizers..."
Photographer,"All Stars Project, Inc.","If young people develop but no one sees it, did it really happen? We won’t take that chance! The All Stars Project of New York..."
Special Events Producer,"All Stars Project, Inc.","The All Stars Project of New York transforms the lives of youth and poor communities using the developmental power of performance, in..."
General helpers Brooklyn Satellite GiGi's Playhouse,"GiGi's Playhouse, Down Syndrome Awareness Centers",GiGi’s Playhouse is a volunteer run organization and we rely on the skill and dedication of volunteers of various levels of...
Pardot forms and e-mail workflow volunteer needed,Project Sunshine,"Do you have experience creating forms and email campaigns in Pardot? We are in the process of setting up Pardot for Project Sunshine, and..."
Adults and Children with Special Needs Projects with New York Cares in Brooklyn,New York Cares,"New York Cares offers many programs serving adults and children with special needs, which present our volunteers with a chance to give a..."
Children's Education Projects with New York Cares in Brooklyn,New York Cares,Help build a strong foundation for the academic achievement of young New Yorkers. New York Cares' Children's Education projects help New...
Children's Recreation Projects with New York Cares in Brooklyn,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Children's Education Projects with New York Cares,New York Cares,Help build a strong foundation for the academic achievement of young New Yorkers. New York Cares' Children's Education projects help New...
Children's Recreation Projects with New York Cares,New York Cares,"Keeping kids physically active is an essential part of their development, so help us get them off the couch! Some projects available for..."
Lead movements for individuals with Down Syndrome @ GiGi's Playhouse Satellite Brooklyn G,"GiGi's Playhouse, Down Syndrome Awareness Centers","Hi, GiGi’s Playhouse Greenpoint Satellite provides free enrichment programs for individuals with-& without Down Syndrome. For..."
Be a Mentor with our Creative Lab program!,Free Arts NYC,What is the Creative Lab? Creative Lab offers teens an introduction to the creative industry and cultural institutions across New York...
Fashion Designer,Yadestinytreasurechest,Job Details: Do you enjoy designing and creating fashion pieces and clothing? Are you ready to join a life-changing organization where...
Volunteer in Brooklyn - Help 3rd-5th grade kids prepare for Math and English exams,Apex for Youth,We are looking for volunteers to join our vibrant and fun team at P.S.169 which is one of the largest Elementary Schools in New York. H...
Volunteer Artist,A Free Bird,Responsibilities Provide non-classroom one to one instructions to our young students Assess the appropriate ability level of each student...
Acting Coach Volunteer,A Free Bird,Responsibilities Provide non-classroom one to one instructions to our young students Assess the appropriate ability level of each student...
Children's Tutor,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Children Programs Coordinator,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Bookkeeper for Non-Profit Organization,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
3D animator,A Free Bird,A Free Bird is a 501 (c) 3 non profit organization dedicated to inspiring and nourishing children with cancer through the therapeutic...
Marketing Volunteer,A Free Bird,Responsibilities: Assisting the Marketing Coordinator with any Job responsibilities. Contacting potential donors/sponsors to help out the...
PR Volunteer,A Free Bird,"Responsibilities: Assisting the PR Coordinator or Director with any work towards the organization. Creating templates, emails, documents,..."
Child Life Specialist/Child Psychologist,A Free Bird,Job Overview A Free Bird’s mission is to uplift children battling cancer and other chronic illnesses through the therapeutic arts....
Programs Assistant,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Volunteer Middle School MATH Tutors Needed In Brooklyn!!,"Top Honors, Inc.","Top Honors is a non-profit educational organization that provides free math tutoring to NYC 5th, 6th, 7th, and 8th-graders. Tutoring..."
Volunteer Middle School Math Tutors Needed In Lower East Side,"Top Honors, Inc.","Top Honors (TH) is a free math tutoring program serving NYC middle school students (5th, 6th, 7th, and 8th graders) who struggle with..."
Board Member Opening at Maya's Hope,Maya's Hope,Thank you for your interest in joining our Board! Would you like to make a difference in a child's life? Do you want to save the lives of...
Marketing Volunteers,Hosh Yoga,Hosh Kids needs your help! As we make enrichment education for all children possible. We are looking for some enthusiastic volunteers to...
Hebrew to English Document Translation,Project Sunshine,"We were fortunate enough to have a pro-bono analysis of our program work in Israel done, conducted by one of our long time supporters...."
Social Media Marketing Volunteer,Hosh Yoga,"SEO & Social Media Intern SEO volunteer will manage all website optimization, link building and social media audience stewardship in..."
Afterschool Program Student Aide,Hosh Yoga,"About Hosh Hosh Yoga and Hosh Kids , are health and wellness non-profit programs based in Brooklyn, New York, committed to making..."
Board Member: Experienced Fundraiser for children's non-profit,Hosh Yoga,"www.hoshkids.org Mission: Health, wellness, and movement as a right of life rather than a luxury Vision: Enrichment education for all..."
Board Member: Web Design/Graphic Design Volunteer,Hosh Yoga,"Hosh welcomes all to come and practice. If you have more time rather than financial resources, we are offering the opportunity to be part..."
Board member needed: Lawyer For Kids Non-profit,Hosh Yoga,"Can you assist with independent contracts, school contracts, and 501 c 3 form. We'd love your help! Hosh Kids is a making enrichmen..."
Hosh Interns & Volunteers Needed,Hosh Yoga,"Health, wellness, and movement as a right of life rather than a luxury. Hosh Kids is a program of Hosh Yoga Inc. Hosh is here to provide..."
Workshop Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Would you like to improve the lives of underserved pre-teens and teens? Do you want to help educate them on...
Student Business Mentor - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Bring the spark that helps ignite the potential of high school students in under-resourced communities as they...
Intergenerational Program Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Are you an older adult seeking to make a meaningful connection with a young person? If so, consider serving at..."
Usher - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Are you interested in helping to seat and greet patrons and visitors in support of a renowned Harlem cultural...
Literacy Coach - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you love to read? Do you like working with children? If you answered yes to both, join this innovative..."
Senior Service Agency Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you want to do some good at a multi-service nonprofit serving youth, families, and older adults? No matter..."
Farm Helper - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Don't mind getting your hands dirty? Want to help connect Brooklyn residents with healthy, local, and..."
Theater Program Volunteer,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Have a taste for the theatrical? Believe in the developmental power of performance? Want to transform the...
Mentor - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you like helping people? Would you like to be a positive force in someone else's life? Do you want to help...
Cooking Class Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Consider guiding small groups of elementary school students through step-by-step recipes, enabling them to..."
Technology Learning Center Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you see the value in technology? Do you wish others could see it too? Help train youth ages 16 to 24 to in...
Tutor - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you like working with children? Do you value education? If so, help a child in need succeed. Many of our..."
Children's Hospital Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Have an interest in children? Want to provide much-needed support to those who just left acute care facilities...
Teacher's Aide/Classroom Assistant - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Do you enjoy spending time with children? Do you want to help them to improve their academic performances...
Aquarium or Zoo Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you have a passion for fish, sharks, and other creatures of the sea? Or perhaps you have a stronger..."
Literacy Intervention Tutor - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Interested in helping elementary school children in low-income communities? Want to empower them with strong...
TEACH NY Fundraising Intern,TEACH TOGETHER EDUCATING ALL CHILDREN IN...,"Help TEACH expand our reach and brighten the day of children in NY by helping to run fundraisers and helping with fundraising activities,..."
Graphic Designer with E-mail Marketing experience,Project Sunshine,Project Sunshine is seeking a graphic design volunteer to help develop some new e-mail marketing templates and drip campaigns. The...
Become a Volunteer Advocate for a Foster Child,Hudson County CASA,"CASA volunteers are ordinary people - men and women, students and executives, retirees and busy professionals. We are looking for..."
"Soccer Players! Share joy of game, coach underserved Crown Hts, BK kids",Seeds in the Middle,"Soccer players! No coaching experience needed. We just need you. Summer soccer pop-ups in July, including July 14 tournament 4-6 pm Fall..."
Visual Artists! Do pop-up Paint or Draw and Sips with us - Brooklyn!,Seeds in the Middle,"ARTISTS! Here's a chance to show off your work, brush up teaching skills, enjoy food and drink and do good at the same time. We want to..."
Reach Out And Read,NewYork-Presbyterian Brooklyn Methodist Hospital,"Turn wait time into fun time. Reach Out and Read (ROAR) is a national program in over 3,200 pediatric healthcare sites where volunteers..."
Volunteer Group Facilitators and Event Help Needed!,A Caring Hand,Thanks so much for wanting to make a difference. We are recruiting volunteers to be group facilitators for children ages 5-17 (groups are...
Volunteer Manager,Maya's Hope,The Volunteer Opportunity Are you a strong volunteer manager? Is your follow up game the strongest? Do you love being organized and...
Children Programs Coordinator,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Assistant to President,A Free Bird,Responsibilities: Carry out responsibilities the president may have. Assists in conserving president’s time and promote AFB public...
Unity Technical Artist,A Free Bird,A Free Bird is looking for a talented Unity artist to assist in the creation of a mobile game app for children undergoing cancer...
Web Developer,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients or..."
Donor Relations Manager,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Administrative Volunteer for Maya's Hope,Maya's Hope,The Volunteer Opportunity Are you interested in non-profit operations to help kids? Maya’s Hope is looking for an organized and...
Grantwriter Volunteer,Maya's Hope,The Volunteer Opportunity Are you a strong grant writer that cares about kids? Maya’s Hope is looking for a grant writer to...
Auction Manager for Maya's Hope Gala,Maya's Hope,Thank you for your interest in volunteering with Maya's Hope! We are looking for an auction manager for the Maya's Hope Lotus Ball on...
"Make Creative Technologies Fun With Arduino, Makey Makey, Micro:bit and Raspberry Pi!",STEM Kids NYC,"We're looking for Creative Technology GURUS who have the ability, fluidity, and patience to work with students in grades 3-8, with..."
STEM and STEAM Enthusiasts & Instructors Needed!,STEM Kids NYC,"We're looking for STEM and STEAM enthusiasts who have the ability, fluidity, and patience to work with students in grades 4-8 with..."
STEMpowerment For Young Women!,STEM Kids NYC,Come join us in afterschool events that are geared to inspiring young women and girls to BE all they can be. STEM Kids NYC will be...
STEMpower Young Women & Girls!,STEM Kids NYC,Are you an evangelist for getting more girls and young women interested in STEM? Have a knack for teaching or encouraging students to try...
Come Teach Kids to Code!,STEM Kids NYC,"We're looking for STEM gurus or STEM enthusiasts who have the ability, fluidity, and patience to work with students in in 4th through 8th..."
Marketing & Communications Volunteers Needed,Project Sunshine,Project Sunshine is seeking volunteers with experience in a number of areas of marketing and communications. There are opportunities in a...
Famili Sundays at the Rubin Museum of Art,Rubin Museum of Art,Family Sundays at the Rubin Museum of Art The Rubin Museum Education department hosts a drop in art making program for families every...
WonderWalk - Supplies for Elementary School Walks,March of Dimes,We are putting supplies together to send to elementary schools across the city for our WonderWalk program and need your help!
Soccer Coach,Arab-American Family Support Center,"We are looking for a volunteer Soccer Coach for July and August to assist our MENar Program, a peer support group for young boys and men..."
Mandarin Speakers Needed! Help us translate calls for our Fresh Air Families!,The Fresh Air Fund,The Fresh Air Fund provides free summer experiences to thousands of NYC children each year! The Friendly Towns team is looking for...
BE PART OF THE ART! Become a Sing for Hope Project Leader,Sing for Hope,"Sing for Hope transforms and uplifts individuals and communities by mobilizing artists in volunteer service, bringing the power of the..."
Share Your Art: Become a Sing for Hope Artist Partner!,Sing for Hope,Sing for Hope provides opportunities for artists to use their time and talent to make the world a better place. Our volunteer programs...
"Dance class for kids with disabilities - LIC, Queens",BALLET FOR ALL KIDS NYC,"Ballet For All Kids is a non-profit organization whose mission is to give every child, regardless of their abilities or disabilities, the..."
"Literacy Tutor/LIC Area/LaGuardia/Tues,Thurs,Fri 9:30 AM - 5:00 PM/Adults",The City Tutors,The City Tutors (CT) is looking for tutors to provide academic support in literacy for LaGuardia Community College’s Fatherhood...
Spring 2019 Reading/Writing Tutors Needed to Support Children (5-9 years old),The City Tutors,The City Tutors (CT) is looking for tutors to provide academic support in reading and writing for the children at the New Destiny Housing...
"Tutors needed for all subjects in Long Island City, NY",Hour Children, Math-All grades  Science-All grades  Algebra-High School  Chemistry-High School  Writing-All grades  Reading comprehension...
VOLUNTEERS NEEDED- 12/14 NYSoM HOLIDAYMANIA FROM 12-6PM,NYSoM,"SATURDAY DECEMBER 14TH FROM 12-6PM NYSoM PRESENTS NYSoM HOLIDAYMANIA IN HARLEM FEATURING KWANZAA, HANUKKAH, CHRISTMAS & NEW YEARS..."
Volunteer to Tutor a child - Become a reading partner  (Hunts Point),Reading Partners,Become a reading partner this Fall - make a lifelong impact on a child Reading Partners is an education nonprofit that mobilizes...
Volunteer to Tutor a child - Become a reading partner (East New York),Reading Partners,Become a reading partner this Fall - make a lifelong impact on a child Reading Partners is an education nonprofit that mobilizes...
Summer in the Winter Carnival (Children+Event support),The Fresh Air Fund,Help us bring a little summer to our Fresh Air families...in the middle of winter! We are hosting a free community event that will...
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Volunteer this Fall with Masa's Youth Group Drop-in Fridays - a leadership and personal...,Masa,"About Masa: Masa partners with Mexican and Latino children, youth, and families in the South Bronx to develop strong learners and leaders..."
Read to children as a Guest Reader at Thurgood Marshall Academy with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Thurgood Marshall Academy, and read to a classroom of..."
Regents Prep Living Environment Science tutor,"South Bronx United, Inc.","Overview: Regents Prep Living Environment Science tutors work with seniors within the SBU college prep program, 1-on-1 or in small..."
Classroom Volunteer/Writing Coach,Behind the Book,"Volunteer with Behind the Book, a non-profit literacy organization that inspires New York City public school students to explore stories..."
"Research coach for Bronx, NYC public school literacy progam (SA-R)",Behind the Book,"Volunteer with Behind the Book, a non-profit literacy organization that inspires New York City public school students to love reading...."
URGENT!  Home Work Help Volunteers Needed!,LSA Family Health Service,We have an urgent need for after school Home Work Help volunteers to assist school aged East Harlem children in our after school Home...
Can Your Organization host a Food Drive for our Food Pantry?,LSA Family Health Service,"As we are currently facing very difficult budget cuts in New York State, our Food Pantry which serves East Harlem children and families..."
URGENT! We need Classrooms Aides for our Early Childhood Socialization Program,LSA Family Health Service,"URGENT! We need Classroom Aide Volunteers for our Early Childhood Socialization groups, starting October 15th. Volunteer aides help..."
Corporate Sponsorship Needed!  Lean how your company can  help our East Harlem families!,LSA Family Health Service,Yes summer is here but the new school year is just around the corner! Children in our LSA programs will need back to school supplies. Do...
URGENT! Wednesday Tutors Needed to Tutor East Harlem K-3 Children,LSA Family Health Service,"Help us help the neediest students in New York City.Our After School Enrichment Tutoring program has begun, and we still need tutors! We..."
Youth Recreational Soccer Coach,"South Bronx United, Inc.",Overview: Rec League Coaches work with one team of girls and/or boys within the SBU Recreational Soccer League during Fall and/or Spring...
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Holiday Toy Drive Gift Wrapping,Union Settlement,"Every year, Union Settlement holds a Holiday Toy Drive where we provide presents to hundreds of children ages 2-12 in our Early Childhood..."
Savannah's Holiday Season-Super HERO Cards and Cookies 4 Kids! Make a Human Smile...,My Charity 4 Kid's Inc/Volunteer One,"Welcome to Savannah’s Cards’ 4 Kids, Volunteers! It is an amazing program with amazing results, lifting the hearts and..."
Cards 4 Kids! Make a Child smile TODAY! =D,My Charity 4 Kid's Inc/Volunteer One,"Welcome to Savannah’s Cards’ 4 Kids, Volunteers! It is an amazing program with amazing results, lifting the hearts and..."
"Writing coach for Washington Heights, NYC public school literacy program (4MB)",Behind the Book,"Volunteer with Behind the Book (www.behindthebook.org), a non-profit literacy organization that inspires New York City public school..."
ONLINE VOLUNTEERING,My Charity 4 Kid's Inc/Volunteer One,Volunteer to post our Online Opportunities and gain Community Service hours! Face Book Instagram Twitter other Social Media Be part of...
Gift Shop Store Voluneer Needed!!,New York State Psychiatric Institute,Scope of work: Ensuring stock levels are well maintained. Tracking of items and maintaining excel sheet of products. Restocking Inventory...
Volunteer Martial Arts Instructor for At-Risk Youth,SCAN - New York Volunteer Parent-Aides...,Our Non-Profit Organization is looking for a Martial Arts instructor to teach At-Risk Youth Self- Defense Skills. SCAN-Harbor's Violence...
Volunteer Event DJs Needed for Dare2B Kids Thanksgiving Celebration,Dare2B,Dare2B is excited to welcome new and long-term volunteers this holiday season. Together we will serve a gourmet meal and funfilled...
"Read, Play and Learn with Preschool Children in Brooklyn!","Jumpstart For Young Children, Inc",Jumpstart’s Extended Day program is currently looking for new volunteers for the 2019-2020 school year! This program is a unique...
Create Holiday Arts & Crafts with Children in the Bronx,Episcopal Charities,Volunteer at St. Ann's in the Bronx by making arts and crafts for the holiday's with children ages 4-10. We will have holiday...
Tutor Students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
HARLEM: Calling all college students who are passionate about education & mentorship!,Let's Get Ready,A Let’s Get Ready Access Coach is a volunteer position for current undergraduate college students or recent graduates interested in...
Visual Arts Teaching Assistant,ARTISTIC DREAMS INTERNATIONAL,Artistic Dreams International (ADI) is a NYC and Mexico based interdisciplinary arts education program. ADI is looking for a visual arts...
ASTORIA +  Stipend: Calling all college students who are passionate about education &...,Let's Get Ready,A Let’s Get Ready Access Coach is a volunteer position for current undergraduate college students or recent graduates interested in...
Seeking Reading-Writing Tutors/Off 110 Ave 6 Line/5 - 7 PM/1-2 hr per week Commitment,The City Tutors,"The City Tutors (CT) is looking for tutors to provide one on one and small group academic support in reading and writing, for Children..."
Seeking Math Tutors/Off 110 Ave 6 Line/5 - 7 PM/1-2 hr per week Commitment,The City Tutors,"The City Tutors (CT) is looking for tutors to provide one on one and small group academic support in math, for Children Aid Society's..."
Editor Internship,The Borgen Project,"The Borgen Project is an innovative, national campaign that is working to make poverty a focus of U.S. foreign policy. Editors edit..."
Office Assistant_ Human Resources Department,"HANAC, INC.",We are looking for an organized Assistant/ file clerk to do file management and maintenance. You will organize paperwork according to an...
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Harlem - Winter Program - Kids Activity Coordinators,Dare2B,Dare2BNYC is currently recruiting volunteers interested in making a meaningful impact in NYC. We are seeking candidates that can work at...
Literacy Tutors/Bronx/High Bridge/Afternoons/1-2 hr per week,The City Tutors,"The City Tutors (CT) is looking for tutors to provide one on one and small group academic support in reading and writing, for New Destiny..."
Professional Photographers Needed to Speak to Underserved Students,GLOBAL KIDS INC,Global Kids is seeking experienced professional photographers (any discipline) to come and speak with students across the 5 boroughs...
Tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Literacy Tutors/Middle School/Washington Heights/Afternoons/1-2 hr per week,The City Tutors,"The City Tutors (CT) is looking for tutors to provide one on one and small group academic support in reading and writing, for..."
Math Tutors/Middle School/Washington Heights/Afternoons/1-2 hr per week,The City Tutors,"The City Tutors (CT) is looking for tutors to provide one on one and small group academic support in Math, for YM&YWHA’s after..."
Finance Internship with ChangingThePresent.org to Make a Difference!,Changing The Present,"Finance Internship with ChangingThePresent.org to Make a Difference! Use your finance skills, experience, knowledge, creativity and..."
Science Tutors/Work with Lab/Middle School/South Bronx/Fridays/1-2 hr per week,The City Tutors,The City Tutors (CT) is looking for science tutors to be a content lead who can lead topic discussions and science activities in...
Work with a Science Lab to Create Lessons for Middle School/High...,The City Tutors,The City Tutors (CT) is looking for science tutors to be a content lead who can develop possible topics for discussion in nanotechnology...
Food Pantry Assistant,The Campaign Against Hunger (TCAH),"TCAH is the largest food pantry in Brooklyn, but we also provide various social services including job training and education referrals,..."
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
MS 54 Afternoon Academy,PTA OF MS 54,"Booker T. Washington MS 54 strives to develop and nurture a community of intelligent, mature and motivated learners with strong academic..."
Volunteer Opportunity [Palisades Park] : Joyful Learning After-school Program Tutor for...,Give Chances,We are running free after schools for children underprivileged in order to give chances for them to get self esteem and confidence in...
Help a child smile with The Songs of Love Foundation,Songs of Love Foundation,The Songs of Love Foundation is a 501(c)(3) non-profit dedicated to helping sick children nationwide by providing them with their very...
Bring a smile to a sick child,Songs of Love Foundation,The Songs of Love Foundation just rebranded it's corporate presentation. It's called The Songs of Love Experience and it engages...
My Own Book Fund: Volunteer and share your love of reading with children,MY OWN BOOK FUND INC,My Own Book Fund brings children from under-served New York City public schools to bookstores and lets each child pick out $50 worth of...
Tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Girls on the Run NYC Fall 5k - Sign up to volunteer or be a Sparkle Runner!,Girls on the Run NYC,"Join us on Sunday, December 8, at Icahn Stadium for the Girls on the Run NYC Spring 5k! At Girls on the Run, we inspire girls to be..."
Seeking Graphic Designer to Help with Fundraising Efforts for Ed Non-Profit,The City Tutors,Description: The City Tutors is looking for a graphic designer who can material to present to the media and prospective donors. Will work...
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Volunteer Photographer - NYC-Based Therapy Dog Nonprofit,"A Fair Shake for Youth, Inc.","A Fair Shake for Youth, Inc. is a non-profit that uses registered therapy dogs to help middle-school-aged youth in underserved..."
Make art with at-risk public school kids!,The Time In Children's Arts Initiative,Time In would welcome those who love opera and the visual arts to join us and to support our kids as they make art! We work very closely...
Arty Readers:  Working with kids in Literacy through Opera and Japanese Manga,The Time In Children's Arts Initiative,"The Time In Children's Arts Initiative is America's leading opera and art program, specializes in providing a sophisticated arts..."
OFFICE ASSISTANT/OFFICE MANAGER,"World Association for Community Empowerment, Inc.","We are seeking two volunteers to help with answering the phone, filing documents, and processing and scheduling appointments for new..."
RECEPTIONIST/ADMIN ASSISTANT,"World Association for Community Empowerment, Inc.","We are currently seeking self-motivated individuals with good interpersonal, communication and customer service skills to volunteer with..."
Empower Inner City Students to Succeed!  Become a Volunteer Tutor Today!,AMERICAN DREAM CHARTER SCHOOL,"The American Dream School is a bilingual middle school in Mott Haven, a predominantly Latino neighborhood in the South Bronx. We need..."
In-Class Tutoring Support for a 7th Grade Math Class,The City Tutors,The City Tutors (CT) provides in-class academic support for a 9th grade algebra class (a total of little more than 30 students) at...
Math Tutor needed for Sugar Hill Broadway Housing Communities,The City Tutors,The City Tutors (CT) is looking for tutors to provide academic support in math for the Sugar Hill Project’s Homework Club for the...
Lab Assistants/Mentors,Students 2 Science,Lab assistants/mentors are volunteers and are needed to work with students who visit our labs and in classrooms during the school year....
Tutor students in the South Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Young Men Initiative Volunteer Position at Carey Gardens Cornerstone Community Center,Brooklyn Community Services,Mentors meet with students and engage in discussions and activities which would be conducive to the young person's development. We expect...
Young Men Initiative Volunteer Position at Seth Low Community Center,Brooklyn Community Services,Mentors meet with students and engage in discussions and activities which would be conducive to the young person's development. We expect...
Special Events Internship,"South Bronx United, Inc.",Overview: Special Events Interns work closely with South Bronx United’s Executive Director in planning and managing nonprofit...
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in New York. With MusicLink, students (children under 18 years..."
S.T.E.M.ulating Minds Weekend Enrichment Program,"The Parris Foundation, Inc.","Whether you're great, good or fair at Science, Technology, Engineering and Math (STEM), you can help make an impact on inner-city youth...."
S.T.E.M.ulating Minds Tutoring Program,"The Parris Foundation, Inc.","Whether you're great, good or fair at Science, Technology, Engineering and Math (STEM), you can help make an impact on inner-city youth...."
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
Read to children as a Guest Reader at Thurgood Marshall Academy with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Thurgood Marshall Academy, and read to a classroom of..."
Read to children as a Guest Reader at Thurgood Marshall Academy with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Thurgood Marshall Academy, and read to a classroom of..."
Read to children as a Guest Reader at Thurgood Marshall Academy with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Thurgood Marshall Academy, and read to a classroom of..."
Read to children as a Guest Reader at Brooklyn Landmark with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Brooklyn Landmark, and read to a classroom of excited..."
Read to children as a Guest Reader at Brooklyn Landmark with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Brooklyn Landmark, and read to a classroom of excited..."
Read to children as a Guest Reader at Brooklyn Landmark with Change For Kids,Change for Kids,"Want to make a difference? Join Change For Kids at one of our partner schools, Brooklyn Landmark, and read to a classroom of excited..."
Volunteer Tutor (Ongoing),Center for the Integration and Advancement of...,"Our elementary school homework help program is looking for volunteer tutors who love to work with kids and are reliable, friendly, and..."
South Bergen Rotary Tricky Tray,SOUTH BERGEN ROTARY FOUNDATION,"This is our biggest fundraiser for the year. We need people to sell tickets, deliver prizes to winners, take photos of the event, post of..."
CPR INSTRUCTOR FOR NON-CERTIFIED CLASS,FRIENDS OF NEW YORK CITY NURSE FAMILY...,We are in need of a CPR Instructor to teach some of the mothers of Nurse-Family Partnership. NFP sends specially trained nurses to do...
Bilingual English-Spanish or English-French Creole Translators,FRIENDS OF NEW YORK CITY NURSE FAMILY...,Do you have a few hours to spend interacting with young mothers and their babies? Or perhaps you would rather help us behind the scenes...
Brooklyn birthday enthusiasts needed!!,The Birthday Party Project,Come spread JOY with The Birthday Party Project!! We host MAGICAL birthday parties for the children living at the Bushwick Family...
Volunteer as a Homework Helper,Astoria Values Inc.,We are looking for volunteers who would be able to help youth with their homework.We generally need volunteers between the hours of 8 AM...
A love for education grows in the Bronx!,Masa,We are seeking dedicated volunteers to provide tutoring and homework help to elementary and middle school students at our South Bronx...
