title,org,desc
Advocate for Foster Care Children and Youth (5 Boroughs in NYC),Court Appointed Special Advocates - NYC,"Court Appointed Special Advocates (CASA) is a volunteer-based, non-profit organization working to ensure that children in foster care..."
Volunteers Needed: Back-to-School Kit Packing,Care For the Homeless,"On Friday, December 6th, Care For the Homeless will be facilitating a ""Winter Accessory"" kit packing event here at our Central..."
Fun Walk/Run Dec. 1 with kids for Fresh Food,Seeds in the Middle,Take a few hours after Thanksgiving and run or walk with us for a Turkey Trot - Brooklyn Marathon - for fresh food. This is a fun...
"Volunteer with Girl Scouts, and Be the Role Model She'll Always Remember",Girl Scouts of the USA,"As a Girl Scout volunteer, you’ll introduce girls to new experiences that show them they’re capable of more than they ever..."
Volunteers needed to host foreign exchange students,Ayusa,Ayusa is seeking volunteers nationwide to help support our exchange students in the following ways: Host Families welcome 1 or 2 exchange...
2020 United Airlines NYC Half Course Volunteers,New York Road Runners,"Volunteers are needed to assist with the proper safety, security and celebration of runners and spectators on March 15, 2020. The finish..."
Thanksgiving Prep! Storage Unit Setup,Dare2B,"Volunteers needed to assist in preparing before our Thanksgiving festivities coming up to provide a memorable moment for all involved,..."
Driver - Event Equipment - Long Island City to Brooklyn,Dare2B,Join the joy! Help us brighten the lives of homeless children this holiday season by making sure all the event supplies are delivered to...
Drivers - Event Equipment Drop off,Dare2B,Drivers will be required to have an SUV or vehicle with a large trunk to pick up event bins from the Brooklyn OR Harlem shelter and drop...
Big Brothers Needed !,Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
Change a Life.  Change Your Life.  Become a Mentor!,Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
KSK Coordinator,A Free Bird,This opportunity is for someone who is diligent with the computer and a fantastic researcher. As the KSK Manager (Kids Supporting Kids)...
Change a Life.  Change Your Life.  Become a Mentor!,Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
Volunteer at the Holiday Show and Gingerbread House Night at PS 81 with Change For Kids,Change for Kids,Want to make a difference this holiday season? Volunteer at PS 81's Holiday Show/ Family Gingerbread Making Night. Volunteers will help...
Change a Life.  Change Your Life.  Spanish Speaking Mentors Needed!,Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
Change a Life.  Change Your Life.  Mentors Needed in South Bronx!,Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
Operations Manager,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
"Change a Life.  Change Your Life.  Mentors Needed in Flushing, Queens!",Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
Change a Life.  Change Your Life.  Mentors Needed in Brooklyn!,Bigs & Littles NYC Mentoring,Hundreds of families seek mentoring services through Bigs & Littles NYC Mentoring each year - we can’t serve them without...
Program Members needed This Fall for Non-Profit Theatre Programs for Homeless Children...,The Actors Theatre Workshop,"The Actors Theatre Workshop (ATW), a non-profit theater and community center, needs volunteer Program Members to join its Fall/Holiday..."
Event Assistant,Fiver Children's Foundation,"Volunteers will be helping us carry out an afternoon of fun, food and games for our participants and their families to celebrate the..."
Volunteer to Tutor a child - Become a reading partner (Manhattan),Reading Partners,Become a reading partner this Fall - make a lifelong impact on a child Reading Partners is an education nonprofit that mobilizes...
Volunteer to Tutor a child - Become a reading partner  (Brooklyn),Reading Partners,Become a reading partner this Fall - make a lifelong impact on a child Reading Partners is an education nonprofit that mobilizes...
New Jersey Event Greeter,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Arts & Recreation Aid,"Chelsea 3 ""I Have a Dream"" Foundation","Expose a child to the world of music, dance, fine arts, drama, and sports through on site activities. You will have the opportunity to..."
Homework Helper,"Chelsea 3 ""I Have a Dream"" Foundation","Homework Helpers will work with first, second, or third-grade ""Dreamers"" to complete their reading, writing and mathematics..."
2019 Thanksgiving Celebrations,Dare2B,Dare2B are hosting their annual Thanksgiving Events to create a memorable moment for children living in shelters and their families. Join...
2019 Thanksgiving Meal Preparation,Dare2B,"Date: Wednesday, November 27, 2019 Dare2B is excited to welcome new and long-term volunteers this holiday season. Together we will..."
2019 Thanksgiving Meal WarmUp/Distribution,Dare2B,Dare2B is excited to welcome new and long-term volunteers this holiday season. Together we will prepare a gourmet meal to be distributed...
EHR Volunteer Needed for Non-Profit!,New Alternatives for Children,"New Alternatives for Children is a unique, award-winning child welfare agency offering strength-based social services, medical and mental..."
Become a Crisis Counselor and support people across the country!,Crisis Text Line,"Crisis Text Line provides free, nationwide, 24/7 support for people in crisis, all via text message. The service is powered by volunteer..."
TEACH Advisory Board Member- NY slot.,TEACH TOGETHER EDUCATING ALL CHILDREN IN...,"TEACH has open Advisory Board seats, below is a description! Feel free to also check us out on our website to learn more about us at www..."
"Women, don't just be sad about Child Abuse, do something about it right NOW!!!",Chicktime,Chicktime is a movement of women setting up networks all across America who are taking their place. Visit our website to find a network...
Computer support,Chelsea Sculpture Park,"Computer/It - Tech Support - All aspects of tech support for the organization including maintenance, troubleshoot, specially ANTI-VIRUS,..."
Help Find Mentors for Gold Star Children,Tuesday's Children,Tuesday’s Children is seeking volunteers to help us find long-term youth mentors for children of our nations Families of the Fallen...
Marketing Assistant,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients or..."
Public Relations Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients or..."
Volunteer Graphic Designer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients..."
Administration Assistant Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Human Resources Volunteer Appreciation Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Get Excited Volunteer Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Grants Coordinator,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Marketing Coordinator,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 6-18 who are patients or..."
Seeking Spanish Speaking Volunteers to Support Student and Family Engagement!,GO Project,GO Project: Who We Are and What We Do The GO Project shapes the futures of low-income New York City public school children by providing...
Help a Middle School student Love to Learn on Saturdays!,GO Project,GO Project: Who We Are and What We Do The GO Project shapes the futures of low-income New York City public school children by providing...
Tutor! Help kids achieve in central BK - Be the change!,Seeds in the Middle,Is equal rights to a quality education important to you? WE NEED TUTORS RIGHT NOW to start supporting underserved children so they can...
"Start a Mini-THON - Bring a fun, interactive leadership program to your school!",Four Diamonds,Four Diamonds’ Mini-THON is a K-12 opportunity where students are empowered to become leaders in the fight against childhood cancer...
Volunteer with One Brick at the New York Public Library Holiday Event,ONE BRICK,PLEASE NOTE: WE ARE ASKING YOU TO ALSO RSVP ON OUR HOME SITE - > https://onebrick.org/node/2377535 One Brick creates a community of...
Creating heart inspiring videos of 1-3 mins long for Free Environmental Summer Camp,MORE GARDENS FUND,We are looking to an accomplished videomaker to put together short 1 minute and 3 minutes long heart inspiring videos of our Free...
Experienced online QuickBooks bookkeeper helping nonprofit enhance community gardens...,MORE GARDENS FUND,"We are a small growing environmental nonprofit with a budget of around $75,000. We have two summer camps with 1099 employees We work with..."
Paint a Children's Art Space in Monticello,Episcopal Charities,"Help a community art space be transformed by painting, installing shelves, and cleaning in Monticello! Volunteers of all ages are..."
Join A NYC Nonprofit Board - BoardAssist has 100's of openings in all nonprofit...,BoardAssist,Interested in serving as a high impact agent of change on a New York City nonprofit board? Contact BoardAssist. BoardAssist is the...
Join a NYC board of directors - BoardAssist has 100s of New York nonprofit board member...,BoardAssist,Interested in serving as a high impact agent of change on a New York City nonprofit board? Contact BoardAssist. BoardAssist is the...
Street Team Volunteers for Non-Profit Theater!,The Actors Theatre Workshop,"Our Theatre's mission is to change people's lives through theater education! The Actors Theatre Workshop is looking for mature,..."
Mentor/Coach for It's About Us Program,"Unlocking Futures, Inc.","""It’s About Us"" is a coaching program for middle school students and their parents designed to build stronger..."
Mentor Homeless Children,The Actors Theatre Workshop,Join our award-winning theatre and community center this spring to serve as a mentor for homeless children in The Builders of the New...
Mentor Homeless and At-Risk Children,The Actors Theatre Workshop,Join our award-winning theatre and community center this fall to serve as a mentor for homeless and at-risk children in The Builders of...
Finance and Accounting Professionals for Theater that serves Homeless Children,The Actors Theatre Workshop,This dynamic community based theater needs the support of Financial professionals familiar with QuickBooks. Experience in budgeting and...
Administrative Internship for Non - Profit Theatre,The Actors Theatre Workshop,We seek organized and efficient individuals who can take a leadership role and contribute to the numerous and wide ranging administrative...
Rental Business Volunteer for Non-Profit Theatre,The Actors Theatre Workshop,We are seeking individuals to join our rental team. The individual must be familiar with managing a rental space. They will be...
In-Kind Donations Volunteers for Non - Profit Theatre,The Actors Theatre Workshop,"Individuals who enjoy working on the telephone to seek donations of goods and services for events, productions, and to enhance the..."
IT Volunteers for Non - Profit Theatre,The Actors Theatre Workshop,ATW is currently seeking IT Interns who can provide direct technical support. The individual?s responsibilities will include support all...
Builders of the New World -- Videographer Volunteer,The Actors Theatre Workshop,"Be a member of the Builders of The New World, a theatre and education program for Homeless children, now in its eleventh year of..."
Fundraising Professionals for Non-Profit Theater that serves Homeless Children!,The Actors Theatre Workshop,"Join us at The Actors Theatre Workshop, an award-winning theatre and community center with a 24-year history of innovative programming!..."
Volunteer Plumbers for Non-Profit Theater!,The Actors Theatre Workshop,Seeking Experienced Plumbers for Volunteer Team at award-winning theater company with acclaimed educational programs for families from...
Electrician and Carpenter Volunteers needed for Non-Profit Theater!,The Actors Theatre Workshop,Seeking Experienced Electricians for Volunteer Team at award-winning theater company with acclaimed educational programs for families...
NYU: Calling all college students who are passionate about education & mentorship!,Let's Get Ready,A Let’s Get Ready Access Coach is a volunteer position for current undergraduate college students or recent graduates interested in...
Energetic Volunteers Wanted for Camp One Step!,Camp One Step,Thank you for considering to volunteer your time and talent to help kids that have been diagnosed with Cancer and their families. We are...
Volunteer Lawyers for non profit Theater that serves Homeless Children,The Actors Theatre Workshop,Assist in the support and development of the Actors Theatre Workshop by using your legal skills. This award-winning theatre and community...
Public Relations Volunteer for Theater!,The Actors Theatre Workshop,We seek experienced and enthusiastic individuals to help get the word out about the Actors Theatre Workshop and to obtain media coverage...
Graphic design Professionals for Theater that serves Homeless Children,The Actors Theatre Workshop,Join this award-winning theatre and community center that writes and develops new plays and serves homeless children. Full service design...
NYC Special Events Intern,"Jumpstart For Young Children, Inc",Jumpstart is a national early education organization that recruits and trains college students to work with preschool children in...
Designer/ Arts and Crafts Talent (Christmas themed),MY FRIENDS PLACE NY INC,Looking for talented artist/designer/arts and crafts talent to lead a group of high school students to make Christmas themed arts and...
Environmental Education Intern or Volunteer - Spring 2020,Gowanus Canal Conservancy,Description Gowanus Canal Conservancy is seeking 3 - 5 Environmental Education Interns or Volunteers to assist with our Urban Ecology...
Volunteer Referral Service,Volunteer Referral Center,MAKE A DIFFERENCE! VOLUNTEER! Want to Volunteer? Need help getting started? Come in for a free and personal one-on-one interview to help...
Looking for the Perfect Volunteer Opportunity in NYC?,Volunteer Referral Center,"FFor over 30 years, the Volunteer Referral Center has helped thousands of New Yorkers find great volunteer opportunities. Through..."
Volunteer Event Planner who LOVES NYC events,Maya's Hope,"If you have experience in NYC events and would like to get involved, please email maya@mayashope.org with your resume and why Maya's Hope..."
Life Coach needed for Group/Individuals to help fundraise!,Maya's Hope,Do you have life coaching skills? Would you like to use those skills to help improve the lives of needy children? Then you may be just...
Looking for People Connectors and Bridge Builders,Aspect Foundation Student Exchange,Aspect Foundation is looking for People Connectors and Bridge Builders nationwide Do you enjoy working with youth and teens? Do you enjoy...
"Dance, Crafts and Sports with Adults with Developmental Disabilities",YAI-Network,"The volunteer will provide support to adults, ages 16 and up, through recreational/cultural activities and discussion groups for..."
Mentor Young Latinas with L.O.V.E.!,Latinas On the Verge of Excellence - L.O.V.E....,The Latinas On the Verge of Excellence - L.O.V.E. Mentoring Program would like to invite college female students to serve as mentors in...
Volunteer Literacy Tutors Needed for Winter 2020,READ718,"READ 718 is looking for volunteer literacy tutors for our Winter Cycle (January 6th - March 19th, 2020). Volunteers must attend an..."
Volunteer Literacy Tutors Needed for Winter 2020,READ718,"READ 718 is looking for volunteer literacy tutors for our Winter Cycle (January 6th - March 19th, 2020). Volunteers must attend an..."
Pack low-cost meal kits for NYC families in need with Lemontree,Lemontree Foods,We meet every Tuesday evening from 5-8pm! Sign up on MeetUp to join in the fun! One in five NYC children experiences hunger each month....
Mentor/Coach,"Unlocking Futures, Inc.","""It’s About Us"" is a coaching program for middle school students, and their parents designed to build stronger..."
Senior Board Members,BROOKLYN QUEENS LONG ISLAND AREA HEALTH...,Brooklyn-Queens-Long Island Area Health Education Center (BQLI-AHEC) is looking for volunteers to give back to communities in Health...
Change a Child's Life Forever by Joining a Prestigious Program,27-1409079,Do you think you have what it takes to be a BPP Ambassador? Do you know a hero in your community who would be a perfect fit? We are...
Intern or Volunteer with ChangingThePresent.org to Help Children and Make a Difference!,Changing The Present,"Intern or Volunteer with ChangingThePresent.org to Help Children and Make a Difference! Use your skills, experience, knowledge,..."
Boys' Step Team Coach- SoulGentz NYC,Friends of MJHS,We are looking for experienced step team coaches (Greek experience is welcomed) to serve as Coaches for the SoulGentz' Step Team. The...
Intern or Volunteer with ChangingThePresent.org to Help Latino Charities and Make a...,Changing The Present,Intern or Volunteer with ChangingThePresent.org to Help Latino Charities and Make a Difference! What You Get Out of the Experience Make a...
Volunteer Focus on Veterans,Changing The Present,Make a Difference for Veterans! Intern or Volunteer with ChangingThePresent.org Here is the opportunity you have been looking for to...
Assistant Coach- NYC Girls' Majorette Dance Team (Grades K-5),Friends of MJHS,The SoulDeevas are looking for a committed choreographer to serve as a coach for its Hip-Hop Majorette Dance team serving a small group...
RSVP Center of Essex and Hudson Counties,Jewish Family Service of MetroWest,The Retired & Senior Volunteer Program Center (RSVP) Center of Essex and Hudson Counties is a comprehensive community service...
Reading Bridge,Jewish Family Service of MetroWest,Bridge the gap between seniors and children through the love of books. RSVP and AngelaCARES are seeking volunteers age 55+ to read once a...
Seed Coach,SEEDS OF FORTUNE,As a Seed Coach you will form a one-to-one advising relationship with a young woman of color to transform her passion and dreams into a...
Intern or Volunteer with ChangingThePresent.org Support Christian Charities and Make a...,Changing The Present,"Intern or Volunteer with ChangingThePresent.org Support Christian Charities and Make a Difference! Use your skills, experience,..."
​You Can Make a Difference for Women and Girls! Intern or Volunteer with...,Changing The Present,"About ChangingThePresent.org The NY Times called ChangingThePresent.org ""an amazon.com of the nonprofit world."" Our..."
Volunteer Photographer Needed for Children's Autism Program: Ballet For All Kids...,American Autism Association,The American Autism Association is an organization dedicated to helping families and individuals affected by autism while increasing...
General Manager(s) Opportunity,New York Crusaders,"The New York Crusaders are in search for a few well organized, passionate and high energy individuals to help manage the day to day..."
Tutor,Gowanus In Unity Tutoring,Gowanus In Unity Tutoring's goal is to give students individualized help with their schoolwork using volunteer tutors from the community....
Tax Letters Volunteer,Maya's Hope,We are looking for an extraordinary volunteer who is efficient at Word and google docs! You must have computer experience and ideally...
Big Brother Big Sister Fall 2019 (POC Encouraged to Apply),Jewish Board of Family and Children's Services,Do you have what it takes to be a positive male role model? To make a direct impact on a young child's (8-13yo) life? Do you enjoy fun...
Volunteer Assistant to President of the Foundation,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Grant Writing Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Media & Communications Volunteer or Student Intern,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Blindness Technology Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Web Designer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Education Services Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Board Member Needed for Organization to Aid the Blind,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Coach- NYC Girls' Hip-Hop Majorette Dance Team (Grades 6 to 12),Friends of MJHS,The SoulDeevas are looking for a committed choreographer to serve as coach for its Hip-Hop Majorette Dance team serving a small group of...
Volunteer at the Winter Extravaganza at Brighter Choice Community School with Change...,Change for Kids,Want to make a difference? Join Change For Kids at Brighter Choice Community School and help with their Winter Extravaganza Showcase...
NYC Cheerleading/Poms Coach (Girls Grades 4 to 12),Friends of MJHS,The SoulDeevas are looking for a committed individual to serve as part of the coaching team for its newly forming Cheerleading program...
"Fall/Afternoon/Middle School/East Village/1-2 hours a week/5-6pm/Mon, Tues, Thurs",The City Tutors,"The City Tutors (CT) is looking for tutors to provide one on one and small group academic support in Math, English Language Arts,..."
Host A Job Shadow Workshop at your office: Weeknights or Saturdays!,The Fresh Air Fund,Invite a group of middle school students from the Fresh Air Fund's Career Awareness Program to visit you and your colleagues at your...
Volunteer at  resource fair to support kids with disabilities,"Resources for Children with Special Needs, Inc.",INCLUDEnyc is hosting our annual resource fair in the Penthouse of Hotel Pennsylvania on January 25th and we are seeking volunteers for...
Board of Directors,The Time In Children's Arts Initiative,"Time In seeks resourceful, mission-driven, forward thinking leaders, with a passion for the arts and equality to bring their expertise to..."
"Help a Child Love to Learn on Saturdays! (Park Slope, Brooklyn)",GO Project,"GO School Tutoring: How YOU Can Help During the GO School Saturday program, a professional teacher models a lesson, activity, or project..."
"Help a Child Love to Learn on Saturdays! (Chelsea, West Village, Union Square, East...",GO Project,"GO School Tutoring: How YOU Can Help During the GO School Saturday program, a professional teacher models a lesson, activity, or project..."
Math Tutors Needed to Support Children (5-9 years old),The City Tutors,The City Tutors (CT) is looking for tutors to provide academic support in math for the children at the New Destiny Housing project this...
Volunteer Lawyer,A Free Bird,"A Free Bird is a 501(C)(3)non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients or..."
Culikid Cooking Events for Children with Special Needs,CULIKID INC,Culikid hosts monthly culinary-sensory events that provide children with a fully curated and supervised day with a chef and social worker...
Seeking Muralist to beautify NYC Public Schools with Change For Kids,Change for Kids,"Change For Kids seeks a muralist to help beautify our partner schools! All children deserve to learn in a beautiful, stimulating..."
Mentoring & Tutoring Opportunity,Youth Potential Academy,Are you looking to be apart of an organization that passionately cares in making a difference within the youth community? Youth Potential...
Undergrad Volunteer,Afghanistan International Foundation for the...,AIFB is looking for committed undegraduate students to volunteer with our organization. The goal of our organization is to help the blind...
"Assist the NYC Community Shoe Drive Reach 25,000 Pairs!",SOLES 4 SOULS,"Our lead volunteer in Manhattan, Rayna, is working to collect 25,000 pairs of shoes to create jobs for those in need in places like Haiti..."
Young Men Initiative Volunteer Position at Farragut Community Center,Brooklyn Community Services,Mentors meet with students and engage in discussions and activities which would be conducive to the young person's development. We expect...
Volunteer as a Special Ed. Instructor & Mentor for special needs kids,Learning Strategies Prep LSP Inc.,"Volunteer at LSP as an Special Ed. Instructor & Mentor! Volunteers get to teach a class and play soccer with kids. Program is small,..."
Volunteer at DonorsChoose.org!,DonorsChoose.org,"Our volunteers create a memorable experience for our donors by executing what we call the ""special sauce"" of our Thank‑You..."
Tutor/Mentor Lantern Residents!,Lantern Community Services,Lantern Community Services is a non profit homeless services organization that champions the independence and well-being of New Yorkers...
Post Production Volunteer,A Free Bird,"A Free Bird, a 100% volunteer-based 501(c)(3) non-profit arts education organization, that strives to empower children with cancer by..."
Help save a child.  Board Members wanted in NYC...,Gift of Adoption Fund,Gift of Adoption is seeking board members for its Board in the state of New York. Chapter meetings and events will be held in New York...
Volunteer: Research by looking up emails to companies from a list we provide :),Maya's Hope,Calling all super researchers and superheroes!! We at Maya’s Hope need YOU to help save the lives of children all over the world!...
Get Involved as a Mentor or Editor for IndyKids,IndyKids,"Do you have a passion for children’s literacy and progressive journalism? IndyKids helps young students ages 9-14 improve writing,..."
"Volunteer Writers, Editors and Kid Reporter Mentors",IndyKids,"Become a Reporter or Writer for IndyKids! IndyKids is looking for volunteers in all areas of work: writing, reporting, illustrations,..."
Children's Scholarship Fund Seeking Young Leaders Board Members,Children's Scholarship Fund,The Children’s Scholarship Fund (CSF) is looking for dedicated and enthusiastic young professionals who are passionate about our...
Board Liasion Volunteer,Maya's Hope,The Volunteer Opportunity Are you interested in non-profit operations to help kids? Maya’s Hope is looking for an organized and...
Development Manager/Fundraiser Volunteer,Maya's Hope,The Volunteer Opportunity Do you put the fun in fundraising? Are you that friend that gets people to show up to your events because they...
"Dance Class for Kids with Disabilities - Gowanus, Brooklyn",BALLET FOR ALL KIDS NYC,"Ballet For All Kids is a non-profit organization whose mission is to give every child, regardless of their abilities or disabilities, the..."
Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of music teachers in New Jersey. With MusicLink, students (children under 18 years old) who show an interest in..."
Tastes of Brooklyn Events- Help needed! Foodies!,Seeds in the Middle,"We are thrilled by the popularity of our Tastes of Brooklyn events, where we create food and drink crawls to benefit our not for profit,..."
Volunteer With a Therapeutic Horsemanship Program in Brooklyn,GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders walk, talk, connect, focus, behave and learn, inspiring each one to live life as..."
Help a Child Love to Learn on Saturdays in Park Slope!,GO Project,GO Project: Who We Are and What We Do The GO Project shapes the futures of low-income New York City public school children by providing...
Help a Child Love to Learn on Saturdays in Manhattan!,GO Project,GO Project: Who We Are and What We Do The GO Project shapes the futures of low-income New York City public school children by providing...
Help a Child Improve their Reading on Saturday Afternoons!,GO Project,GO Project: Who We Are and What We Do The GO Project shapes the futures of low-income New York City public school children by providing...
Admin Assistant,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Marketing Assistant,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Public Relations Assistant Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Billing Assistant Volunteer,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Fundraising Assistant,A Free Bird,"A Free Bird is a 501(C)(3) non-profit organization based in New York City. Our focus is to provide children, ages 4-18 who are patients..."
Empower Youth Entrepreneurs. Be a BUILD Mentor!,BUILD,"BUILD is an innovative, college preparatory program. We use entrepreneurship to ignite the potential of youth from under-resourced..."
Master Class Instructor - Step Team,Friends of MJHS,We are looking for creative and committed individuals experienced in stepping to conduct a Master Class for the SoulDeevas - a...
Master Class Dance Instructor NYC,Friends of MJHS,We are looking for creative and committed individuals experienced in any genre of dance to conduct a Master Class for the SoulDeevas - a...
Flamenco Vivo Volunteer and Work/Study Program,Flamenco Vivo Carlota Santana,"Flamenco Vivo Carlota Santana We believe that the universal spirit of flamenco, a multicultural art form, has the power to build bridges..."
